What grade are you in?,What is/are your favourite subjects?,What is your ethnic background?,What is your academic stream?,What departments do you work in at Mackenzie?,Ham between two slices of bread,"Bacon, lettuce, and tomato between two slices of bread",Grilled cheese,Panini,Sub,Hamburger,Hotdog,Ice cream between two cookies,Buritto,Taco,Calzone,Quesadilla,Open-faced sandwich,Pizza,"Two slices of pizza, face down, on top of each other",Slice of bread between two more slices of bread,Oreo cookie,Ritz cracker,Sushi burrito,Nigiri sushi,Slice of cheese,Salad with croutons,Brick between two slices of bread,Cold cuts,Tomato,Cheese,Lettuce,Mayonnaise,Mustard ,Ketchup,Carrot,Peanut butter,Jelly,Olives,Fish,Egg,Fruit,Chicken foot,Rice,Potato,Soup,Pasta,Grass
Grade 11,Computer Science and Technology,Caucasian,Academic,,10,10,10,10,10,6,4,7,4,4,10,7,2,0,10,9,10,10,3,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,10,10
Grade 12,Arts,Jewish,Academic,,10,10,9,9,7,7,6,6,5,3,6,5,2,0,4,5,4,3,2,0,0,0,4,7,5,9,3,0,0,1,4,8,7,0,2,7,6,1,7,7,0,7,4
Grade 12,Science;Social Sciences,Caucasian,Gifted,,10,10,8,7,10,5,3,4,1,0,1,2,3,0,3,8,0,0,1,0,0,0,4,10,10,10,10,10,10,10,8,10,10,7,8,8,4,0,7,9,0,2,1
Grade 12,Computer Science and Technology;Science,Chinese,MaCS,,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Grade 12,Arts;Physical Education;Science,Caucasian,Gifted,,10,10,7,10,10,8,3,10,0,1,3,3,6,0,5,6,8,8,0,0,0,0,10,10,10,10,10,10,1,1,6,8,8,0,3,2,0,0,0,1,0,0,0
Grade 11,Math;Physical Education,Korean,MaCS,,4,9,7,7,6,5,3,4,3,3,3,3,2,0,0,0,1,1,0,0,0,0,2,10,10,10,10,9,9,7,4,8,8,4,0,6,0,0,0,3,0,0,0
Grade 11,Co-op and Leadership;Science,South Asian,MaCS,,10,10,10,6,10,5,3,1,0,0,7,5,4,0,0,0,0,0,1,0,0,0,0,10,10,10,10,10,5,6,1,10,10,0,0,10,0,0,0,2,0,0,0
Grade 12,Drama,East Asian,Gifted,,10,10,10,10,10,2,1,4,1,1,1,1,7,0,10,10,1,1,0,0,0,0,4,10,10,10,10,10,10,10,5,10,10,10,10,4,4,3,0,1,1,1,0
Grade 11,Science,Other,Academic,,8,9,10,7,8,3,2,5,4,3,2,4,0,1,0,0,4,4,5,3,0,0,0,10,10,10,10,10,9,7,6,8,3,6,5,7,2,0,0,3,0,0,0
Grade 11,Arts;English;Social Sciences,Caucasian,MaCS,,10,10,9,10,9,7,6,5,6,3,4,3,7,1,5,7,5,5,1,0,0,0,9,10,10,10,10,10,10,9,8,10,10,8,9,9,6,8,1,3,2,1,2
Grade 11,English;Math;Science;Social Sciences,Jewish,Gifted,,10,10,10,9,5,10,2,10,0,0,0,6,0,0,7,4,10,10,0,0,0,0,2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Grade 11,Math;Science,Other,Gifted,,10,10,10,10,7,10,0,10,0,0,0,0,0,0,10,0,10,10,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Grade 11,Computer Science and Technology;English;Library;Physical Education;Special Education,Vietnamese,Gifted,,7,10,10,10,10,3,8,10,1,0,0,0,0,0,10,10,10,10,0,0,0,0,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,6,10,10,10,10,10
Grade 9,Computer Science and Technology,Other,Other,,2,8,6,8,0,1,1,10,1,1,2,1,0,1,2,10,9,0,1,1,2,1,10,10,10,10,10,4,3,2,4,1,1,1,0,0,0,0,0,0,0,0,10
Grade 9,How to be scared,Caucasian,Other,,9,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,10,6,6,9,10,0,10,0,6,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0
Grade 9,Arts;Business;English;Physical Education;Social Sciences,Mixed,MaCS,,6,10,10,8,10,7,2,8,1,0,0,0,4,0,1,0,5,4,0,0,0,0,3,10,9,10,10,7,3,1,0,8,6,5,7,4,0,0,0,0,0,0,0
Grade 12,Math,Middle Eastern,Academic,,10,10,10,0,7,10,0,10,7,10,4,0,10,0,0,0,0,0,0,0,0,0,0,5,10,10,10,10,10,10,5,10,0,10,0,10,0,0,0,10,0,0,0
Grade 12,None,Other,Academic,,10,10,10,10,10,10,4,10,3,0,10,8,10,0,10,10,0,0,0,0,0,0,10,10,8,10,6,7,5,5,5,10,10,0,10,10,3,3,6,4,0,5,0
Grade 12,Architecture ,Chinese,Academic,,5,9,4,2,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,5,10,10,10,10,10,10,10,10,10,10,10,10,10,7,5,2,10,0,0,3
Teacher,Math,Other,Teacher,Special Education,10,10,10,10,10,10,10,10,9,0,0,7,6,0,0,3,2,2,5,0,0,0,0,10,10,10,10,10,10,5,0,10,9,3,8,10,0,0,0,0,0,0,0
Grade 11,English,Caucasian,Applied,,10,10,10,10,10,3,1,10,3,1,10,2,5,0,0,10,10,10,1,0,0,0,10,10,10,10,10,10,10,10,5,10,10,4,4,9,2,1,0,1,0,0,0
Grade 10,Physical Education;Special Education,Other,Academic,,5,5,8,7,3,2,0,10,3,3,2,2,6,3,3,4,3,3,0,1,0,0,10,9,9,9,9,9,9,9,9,9,9,6,5,9,3,0,0,0,0,0,0
Grade 9,Music,Mixed,Academic,,4,9,7,9,10,9,0,9,5,3,5,8,0,1,0,0,10,10,1,0,0,0,0,10,10,10,10,10,9,6,8,7,6,6,0,0,0,0,0,0,0,0,0
Grade 11,Computer Science and Technology,Mixed,MaCS,,10,10,10,10,10,9,8,7,7,3,4,6,0,0,7,5,1,1,1,0,0,0,1,10,10,10,10,10,10,9,8,7,7,10,10,10,2,0,2,9,0,2,7
Grade 11,Business;Computer Science and Technology;Math;Science,Chinese,MaCS,,10,10,10,10,10,10,5,10,0,0,0,10,10,0,10,10,8,6,0,0,0,0,10,10,5,10,10,10,10,10,7,10,10,3,10,10,1,10,1,1,10,0,10
Grade 11,Computer Science and Technology;English;Math;French,Mixed,MaCS,,10,10,10,10,10,10,10,10,0,0,0,10,0,0,10,0,10,10,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10
Grade 12,Math;Science,East Asian,Academic,,10,10,10,10,10,10,8,10,0,0,5,5,0,0,8,10,5,5,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,0,0,0
Grade 9,Computer Science and Technology;Math,South Asian,MaCS,,7,10,10,9,10,5,0,7,1,2,3,4,3,0,1,0,6,6,2,1,0,1,6,9,10,10,10,10,7,5,10,10,10,6,3,10,4,0,0,0,0,0,0
Grade 12,Arts;Science;Social Sciences,Caucasian,Academic,,5,10,10,10,10,10,10,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,5,0,5,7,0,0,0
Grade 10,Arts;English;Social Sciences,Jewish,MaCS,,7,10,10,10,7,5,1,10,0,0,3,2,0,0,0,0,4,5,0,0,0,0,4,10,10,10,10,0,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Grade 10,Business;English;Languages;Math;Science,Caucasian,MaCS,,7,10,10,10,10,10,6,0,3,3,1,0,5,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,7,10,10,0,5,5,0,0,0,0,0,0,0
Grade 11,Arts;Science,Korean,Gifted,,6,10,9,10,6,4,0,1,2,1,4,3,0,0,2,0,1,2,0,0,0,0,0,8,8,10,10,7,6,3,1,7,7,3,2,5,3,0,0,2,0,0,0
Grade 11,Arts;Business;Computer Science and Technology;English;Math,South Asian,Gifted,,7,10,10,10,10,6,3,8,6,1,3,4,0,0,10,0,1,2,0,0,0,0,0,10,10,10,10,10,10,10,0,10,10,0,10,10,0,0,0,5,0,0,0
Grade 12,Arts;Science,Jewish,MaCS,,10,10,10,10,10,6,2,7,2,0,6,5,10,0,0,4,7,4,0,1,0,0,0,10,10,10,10,10,10,5,3,10,10,4,5,6,0,0,0,0,0,0,0
Grade 11,Math,Filipino,Academic,,5,10,10,10,10,10,5,4,7,8,8,7,5,9,5,2,4,4,6,7,6,7,7,7,0,3,0,0,7,8,6,0,0,7,4,3,1,0,1,6,3,5,6
Grade 11,Math;Science;Social Sciences,Mixed,Academic,,10,10,10,10,10,10,0,10,0,0,5,5,5,0,6,5,5,5,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,5,5,0,5,0
Grade 12,Arts;Science;Social Sciences,Other,Academic,,5,10,10,10,10,4,3,3,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,2,10,10,3,5,10,0,0,0,0,0,0,0
Grade 12,None,Middle Eastern,Academic,,10,10,10,10,10,10,10,0,0,0,10,10,3,0,0,0,0,0,0,0,0,0,7,10,5,10,7,9,9,9,0,6,0,0,7,6,0,0,0,3,0,0,0
Grade 12,Science,Caucasian,Academic,,10,7,5,10,9,3,3,8,2,1,5,4,8,0,2,4,2,8,2,0,0,0,9,10,10,10,10,10,10,7,7,7,7,4,2,1,1,0,1,3,1,3,0
Grade 10,Computer Science and Technology;English;Math;Science,Middle Eastern,MaCS,,7,10,10,8,10,4,7,10,4,0,0,0,0,0,5,10,10,10,7,0,0,0,10,10,10,10,10,10,10,9,0,10,10,7,6,10,0,0,0,0,10,10,10
Grade 9,Math,East Asian,MaCS,,8,10,9,10,10,6,5,3,4,2,2,3,7,1,0,4,3,4,1,0,0,0,8,10,10,10,10,10,5,6,1,9,9,4,5,8,4,1,1,7,1,1,1
Grade 9,Arts;Computer Science and Technology;Languages;Physical Education,Jewish,MaCS,,8,10,10,10,8,5,3,5,5,3,2,6,1,0,0,0,2,2,1,0,0,0,0,10,10,10,10,8,7,7,5,4,4,2,2,2,2,0,0,0,0,0,0
Grade 12,Business;Computer Science and Technology;English;Physical Education,Chinese,MaCS,,10,10,10,10,10,10,4,10,4,2,5,4,10,0,2,6,8,8,2,0,0,0,10,10,10,10,10,10,10,10,7,10,10,7,10,10,4,0,3,4,0,0,0
Grade 11,Computer Science and Technology;Math;Science,Other,MaCS,,5,10,3,7,10,10,10,0,0,0,7,7,10,0,0,0,0,0,5,0,10,10,10,10,10,10,10,7,0,7,0,0,0,0,0,6,0,0,0,0,0,0,10
Grade 9,Math;Physical Education,Other,MaCS,,3,6,4,4,7,3,1,8,2,2,2,2,4,0,0,0,2,2,1,0,0,0,0,7,10,10,10,9,9,7,2,9,8,2,8,5,2,2,1,2,0,0,0
Other,None,Other,Other,,10,10,10,10,10,10,10,5,10,8,8,10,10,6,10,10,0,0,10,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0
Grade 10,English;Math;Social Sciences,Jewish,MaCS,,10,10,10,10,10,7,6,9,8,5,4,6,10,4,6,9,9,7,4,1,0,0,9,10,10,10,10,10,10,10,8,10,10,9,9,10,7,0,1,1,0,0,0
Grade 11,Arts;English;Social Sciences,Mixed,MaCS,,10,10,8,10,9,4,0,1,0,0,0,0,0,0,2,7,6,6,0,0,0,0,10,10,10,10,10,10,10,4,2,10,10,3,3,8,4,0,0,0,0,0,0
Grade 9,Arts;Physical Education;Science,Chinese,Gifted,,10,10,10,10,10,10,10,10,5,5,10,10,10,0,10,10,10,10,0,0,0,5,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,0,0,5,10,0,5
Grade 11,Social Sciences,Middle Eastern,Academic,,8,8,10,7,7,10,7,10,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,7,4,7,7,5,7,7,0,4,0,1,0,4,0,0,2,1,0,0,0
Grade 12,Business;English,Caucasian,MaCS,,10,10,10,10,10,8,4,10,0,0,9,6,10,2,0,0,1,1,0,0,0,0,10,0,0,0,0,0,0,10,9,8,0,0,6,4,1,10,0,6,10,0,8
Grade 10,English;Languages;Physical Education;Science;Social Sciences,Mixed,MaCS,,9,10,10,10,10,10,6,7,7,5,6,6,5,2,5,4,2,2,2,2,0,0,0,10,10,10,10,10,10,10,8,9,9,0,6,6,4,4,4,4,0,6,2
Grade 12,Science;Social Sciences,Filipino,Academic,,6,7,7,7,10,3,0,7,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,0,7,7,6,0,2,0,0,0,0,0,0,0
Grade 10,Physical Education;Science,East Asian,MaCS,,8,10,10,10,10,10,7,9,6,6,6,5,3,0,0,0,10,4,2,0,0,0,10,10,10,10,10,10,8,8,5,7,7,0,0,8,5,0,0,0,0,0,0
Grade 12,Math;Science,Other,MaCS,,10,10,10,9,8,5,2,1,0,0,4,0,10,0,0,8,0,0,0,0,0,0,6,10,10,10,10,10,10,3,2,8,8,0,3,3,0,0,0,0,0,0,0
Grade 9,Computer Science and Technology;Physical Education,Other,MaCS,,10,10,10,10,10,9,9,10,10,10,10,10,0,0,10,10,10,10,0,0,0,0,10,10,10,10,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,0,0
Grade 11,Math;Science;Social Sciences,Caucasian,MaCS,,8,10,10,10,10,10,3,10,0,0,0,0,1,0,0,0,6,6,0,0,0,0,0,10,10,10,10,10,10,5,0,10,10,0,0,0,0,0,0,0,0,0,0
Grade 12,Arts;English,Mixed,MaCS,,10,10,10,10,10,9,2,2,2,2,2,2,7,3,1,1,1,2,2,2,2,3,10,10,10,10,10,10,9,2,2,10,10,3,2,10,3,2,2,2,2,2,2
Grade 10,English;Physical Education;Science;Social Sciences,South Asian,MaCS,,10,10,10,10,10,10,0,8,2,0,6,0,0,0,2,0,8,5,0,0,0,0,0,10,10,10,10,10,10,10,4,10,10,9,10,10,3,0,0,2,0,0,0
Grade 10,Math,Korean,MaCS,,3,8,1,6,10,10,10,0,10,7,7,4,3,0,6,0,1,1,0,0,0,0,0,10,10,10,5,3,1,10,0,6,4,1,1,3,0,0,1,2,1,5,0
Grade 10,Science;Social Sciences,South Asian,MaCS,,10,10,10,10,10,10,5,10,0,0,5,0,7,0,10,5,0,0,0,0,10,0,3,0,0,10,0,10,0,0,0,0,0,0,0,10,0,0,0,10,0,0,10
Grade 11,Physical Education;Science;Social Sciences,Other,Academic,,10,10,10,8,5,3,0,10,0,0,5,4,6,0,5,5,0,0,0,0,0,0,2,9,9,10,10,5,5,5,3,10,10,3,4,8,0,0,0,0,0,0,0
Grade 10,Social Sciences,Filipino,Academic,,5,10,9,7,7,4,2,4,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,8,8,8,8,6,4,0,8,8,0,4,8,0,0,0,0,0,0,0
Grade 9,Business;Computer Science and Technology;Co-op and Leadership;English;Math;Physical Education;Science,East Asian,Gifted,,0,10,10,10,10,10,0,10,0,0,0,0,10,0,10,10,10,10,0,0,0,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,10,0,0,0
Grade 11,Math;Science,Caucasian,MaCS,,10,10,10,10,10,4,0,0,4,2,1,1,10,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,0,1,10,10,10,0,9,8,0,1,2,0,0,8
Grade 12,Computer Science and Technology;Languages;Library;Special Education,Other,Other,,10,10,10,10,10,10,0,10,0,0,0,0,10,0,10,10,0,0,0,0,0,0,10,10,10,10,10,10,10,10,0,5,5,8,5,5,0,9,1,5,0,0,0
Grade 10,Business,Korean,Gifted,,10,10,8,10,10,10,6,10,0,0,8,8,10,0,0,9,0,0,0,0,0,0,2,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,0,0,0,0,0
Grade 11,Business;Science;Social Sciences,Caucasian,MaCS,,8,10,7,8,10,7,2,1,0,0,2,2,5,0,1,0,0,2,0,0,0,0,0,10,10,10,10,8,7,5,5,7,7,3,5,5,1,0,0,1,0,0,0
Grade 11,English;Science;Social Sciences,South Asian,MaCS,,0,7,8,10,10,9,5,10,1,1,1,1,8,0,0,0,0,0,0,0,0,0,0,5,5,9,8,8,5,0,0,2,2,0,0,4,0,0,0,0,0,0,0
Grade 11,Science;Social Sciences,Vietnamese,Gifted,,5,10,10,10,4,4,0,8,1,0,0,0,0,0,2,0,5,7,1,0,0,1,8,7,10,10,10,10,1,0,0,6,2,0,1,9,0,4,7,2,2,0,9
Grade 12,Business;Math;Social Sciences,South Asian,MaCS,,10,10,7,10,10,7,5,0,3,3,5,3,10,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,5,5,7,7,10,10,10,0,8,0,6,0,0,0
